"id","controller_id","measurement_time","sensor_id","temperature","humidity","pressure"
80,raspberrypi,2018-11-15 21:28:07,bedroom,19.98,40.5,1030.6
81,raspberrypi,2018-11-15 21:28:07,living_room,21.2,41,1031.22
82,raspberrypi,2018-11-15 21:30:07,bedroom,19.95,40.5,1030.59
83,raspberrypi,2018-11-15 21:30:07,living_room,21.18,41,1031.22
84,raspberrypi,2018-11-15 21:32:07,bedroom,19.93,40.5,1030.64
85,raspberrypi,2018-11-15 21:32:07,living_room,21.17,41,1031.28
86,raspberrypi,2018-11-15 21:34:07,bedroom,19.91,40.5,1030.63
87,raspberrypi,2018-11-15 21:34:07,living_room,21.16,41,1031.26
88,raspberrypi,2018-11-15 21:36:07,bedroom,19.89,40.5,1030.67
89,raspberrypi,2018-11-15 21:36:07,living_room,21.16,41,1031.3
90,raspberrypi,2018-11-15 21:38:07,bedroom,19.88,40.5,1030.68
91,raspberrypi,2018-11-15 21:38:07,living_room,21.15,41,1031.32
92,raspberrypi,2018-11-15 21:40:08,bedroom,19.86,41,1030.72
93,raspberrypi,2018-11-15 21:40:08,living_room,21.15,41,1031.36
94,raspberrypi,2018-11-15 21:42:07,bedroom,19.85,41,1030.73
95,raspberrypi,2018-11-15 21:42:07,living_room,21.14,41,1031.36
96,raspberrypi,2018-11-15 21:44:07,bedroom,19.83,41,1030.72
97,raspberrypi,2018-11-15 21:44:07,living_room,21.14,41,1031.34
98,raspberrypi,2018-11-15 21:46:07,bedroom,19.83,41,1030.75
99,raspberrypi,2018-11-15 21:46:07,living_room,21.13,41,1031.36
100,raspberrypi,2018-11-15 21:48:07,bedroom,19.82,41,1030.78
101,raspberrypi,2018-11-15 21:48:07,living_room,21.14,41,1031.41
102,raspberrypi,2018-11-15 21:50:08,bedroom,19.81,41,1030.82
103,raspberrypi,2018-11-15 21:50:08,living_room,21.13,41,1031.45
104,raspberrypi,2018-11-15 21:52:07,bedroom,19.8,41,1030.8
105,raspberrypi,2018-11-15 21:52:07,living_room,21.13,41,1031.41
106,raspberrypi,2018-11-15 21:54:07,bedroom,19.79,41,1030.78
107,raspberrypi,2018-11-15 21:54:07,living_room,21.14,41,1031.41
108,raspberrypi,2018-11-15 21:56:07,bedroom,19.78,41,1030.78
109,raspberrypi,2018-11-15 21:56:07,living_room,21.14,41,1031.4
110,raspberrypi,2018-11-15 21:58:07,bedroom,19.78,41,1030.76
111,raspberrypi,2018-11-15 21:58:07,living_room,21.14,41,1031.38
112,raspberrypi,2018-11-15 22:00:08,bedroom,19.79,41,1030.74
113,raspberrypi,2018-11-15 22:00:08,living_room,21.13,41,1031.37
114,raspberrypi,2018-11-15 22:02:07,bedroom,19.8,41,1030.72
115,raspberrypi,2018-11-15 22:02:07,living_room,21.12,41,1031.34
116,raspberrypi,2018-11-15 22:04:07,bedroom,19.81,41,1030.71
117,raspberrypi,2018-11-15 22:04:07,living_room,21.12,41,1031.32
118,raspberrypi,2018-11-15 22:06:07,bedroom,19.82,41,1030.73
119,raspberrypi,2018-11-15 22:06:07,living_room,21.12,41.5,1031.34
120,raspberrypi,2018-11-15 22:08:07,bedroom,19.82,41.5,1030.73
121,raspberrypi,2018-11-15 22:08:07,living_room,21.12,41.5,1031.33
122,raspberrypi,2018-11-15 22:10:08,bedroom,19.83,41.5,1030.74
123,raspberrypi,2018-11-15 22:10:08,living_room,21.12,41.5,1031.37
124,raspberrypi,2018-11-15 22:12:07,bedroom,19.84,41.5,1030.73
125,raspberrypi,2018-11-15 22:12:07,living_room,21.12,41.5,1031.36
126,raspberrypi,2018-11-15 22:14:07,bedroom,19.86,42,1030.71
127,raspberrypi,2018-11-15 22:14:07,living_room,21.12,41.5,1031.34
128,raspberrypi,2018-11-15 22:16:07,bedroom,19.87,42,1030.72
129,raspberrypi,2018-11-15 22:16:07,living_room,21.11,42,1031.34
130,raspberrypi,2018-11-15 22:18:07,bedroom,19.87,42,1030.69
131,raspberrypi,2018-11-15 22:18:07,living_room,21.11,42,1031.31
132,raspberrypi,2018-11-15 22:20:07,bedroom,19.88,42,1030.64
133,raspberrypi,2018-11-15 22:20:07,living_room,21.12,42,1031.27
134,raspberrypi,2018-11-15 22:22:07,bedroom,19.88,42,1030.63
135,raspberrypi,2018-11-15 22:22:07,living_room,21.12,42,1031.27
136,raspberrypi,2018-11-15 22:24:08,bedroom,19.88,42,1030.62
137,raspberrypi,2018-11-15 22:24:08,living_room,21.12,42,1031.25
138,raspberrypi,2018-11-15 22:26:07,bedroom,19.88,42,1030.58
139,raspberrypi,2018-11-15 22:26:07,living_room,21.12,42,1031.22
140,raspberrypi,2018-11-15 22:28:07,bedroom,19.89,42,1030.59
141,raspberrypi,2018-11-15 22:28:07,living_room,21.12,42,1031.21
142,raspberrypi,2018-11-15 22:30:07,bedroom,19.89,42,1030.58
143,raspberrypi,2018-11-15 22:30:07,living_room,21.12,42,1031.22
144,raspberrypi,2018-11-15 22:32:07,bedroom,19.88,42,1030.63
145,raspberrypi,2018-11-15 22:32:07,living_room,21.12,42,1031.25
146,raspberrypi,2018-11-15 22:34:07,living_room,21.12,42,1031.23
147,raspberrypi,2018-11-15 22:36:07,bedroom,19.87,42,1030.6
148,raspberrypi,2018-11-15 22:36:07,living_room,21.11,42.5,1031.24
149,raspberrypi,2018-11-15 22:38:07,bedroom,19.87,42,1030.64
150,raspberrypi,2018-11-15 22:38:07,living_room,21.13,42,1031.29
151,raspberrypi,2018-11-15 22:40:08,bedroom,19.87,42,1030.64
152,raspberrypi,2018-11-15 22:40:08,living_room,21.14,42,1031.29
153,raspberrypi,2018-11-15 22:42:07,bedroom,19.86,42,1030.68
154,raspberrypi,2018-11-15 22:42:07,living_room,21.13,42,1031.31
155,raspberrypi,2018-11-15 22:44:07,bedroom,19.85,42,1030.67
156,raspberrypi,2018-11-15 22:44:07,living_room,21.13,42,1031.29
157,raspberrypi,2018-11-15 22:46:07,bedroom,19.84,42,1030.72
158,raspberrypi,2018-11-15 22:46:07,living_room,21.12,42,1031.34
159,raspberrypi,2018-11-15 22:48:07,bedroom,19.83,42,1030.75
160,raspberrypi,2018-11-15 22:48:07,living_room,21.12,42,1031.39
161,raspberrypi,2018-11-15 22:50:08,bedroom,19.81,42,1030.74
162,raspberrypi,2018-11-15 22:50:08,living_room,21.11,42,1031.36
163,raspberrypi,2018-11-15 22:52:07,bedroom,19.79,42,1030.75
164,raspberrypi,2018-11-15 22:52:07,living_room,21.11,42,1031.38
165,raspberrypi,2018-11-15 22:54:07,bedroom,19.78,42,1030.77
166,raspberrypi,2018-11-15 22:54:07,living_room,21.1,42,1031.42
167,raspberrypi,2018-11-15 22:56:07,bedroom,19.75,42,1030.72
168,raspberrypi,2018-11-15 22:56:07,living_room,21.09,42,1031.36
